No.;NIT;RAZON SOCIAL;SUPERVISOR;REGIÓN;DEPARTAMENTO DOMICILIO;CIUDAD DOMICILIO;CIIU;MACROSECTOR;"INGRESOS OPERACIONALES
2018*";GANANCIA (PERDIDA) 2018;TOTAL ACTIVOS 2018;TOTAL PASIVOS 2018;TOTAL PATRIMONIO 2018;"INGRESOS OPERACIONALES
2017*";GANANCIA (PERDIDA) 2017;TOTAL ACTIVOS 2017;TOTAL PASIVOS 2017;TOTAL PATRIMONIO 2017;GRUPO EN NIIF
1;860003563;ABB LTDA;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;C2711 - Fabricación de motores, generadores y transformadores eléctricos;MANUFACTURA;3571775290;-58725480;2956848280;2476739360;480108920;4005048860;-87529000;2875459550;$ 2341172480;534287070;NIIF PLENAS-GRUPO 1
2;900138670;C.I BIOCOSTA S.A;SUPERSOCIEDADES;Costa Atlántica;MAGDALENA;SANTA-MARTA-MAGDALENA;G4610 - Comercio al por mayor a cambio de una retribución o por contrata;COMERCIO;6018901940;35049440;1207011140;1031423810;175587330;4994552450;10837770;1020831970;$ 894986480;125845490;NIIF PLENAS-GRUPO 1
3;890302629;CONSTRUCTORA MELENDEZ S.A.;SUPERSOCIEDADES;Costa Pacífica;VALLE;CALI-VALLE;F4111 - Construcción de edificios residenciales;CONSTRUCCIÓN;1739284020;17351050;3030766680;2163543620;867223060;1039942430;-38772470;2615650250;$ 1748991200;866659050;NIIF PLENAS-GRUPO 1
4;811004055;EMDISALUD;SUPERSALUD;Costa Atlántica;CORDOBA;MONTERIA;O8430- Actividades de planes de seguridad social de afiliacion obligatoria;SERVICIOS;40338871012;-30165816569;9908133414;49508606428;-39600473014;36965284636;-10862269242;9807866502;$ 19246633716;-9438767214;NIIF PYMES-GRUPO 2
5;890503314;CERAMICA ITALIA SA;SUPERSOCIEDADES;Centro - Oriente;NORTE DE SANTANDER;CUCUTA-NORTE DE SANTANDER;C2392 - Fabricación de materiales de arcilla para la construcción;MANUFACTURA;1419514010;4582130;1498588040;497131270;1001456770;1360935380;32504600;1509245600;$ 490200920;1019044680;NIIF PYMES-GRUPO 2
6;830024974;NATURA COSMETICOS LTDA;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador;COMERCIO;3095478260;209150040;1305191090;649628000;655563090;2756663020;71962150;1022643350;$ 576230300;446413050;NIIF PLENAS-GRUPO 1
7;860001963;PROTELA S.A.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;C1312 - Tejeduría de productos textiles;MANUFACTURA;1668109670;-5394050;3647096110;1506110870;2140985240;1515931110;-83851100;3633766970;$ 1488227100;2145539870;NIIF PLENAS-GRUPO 1
8;860002590;BRENNTAG COLOMBIA SA;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario;COMERCIO;4921344140;45845560;3743612630;2776571160;967041470;4519507100;33577840;2709724080;$ 1788522030;921202050;NIIF PLENAS-GRUPO 1
9;890700058;UNION DE ARROCEROS S.A.S.;SUPERSOCIEDADES;Bogotá - Cundinamarca;CUNDINAMARCA;COTA-CUNDINAMARCA;C1051 - Elaboración de productos de molinería;MANUFACTURA;2177462620;30256560;1712223220;1180435530;531787690;2471574950;13067880;1638273320;$ 1148579840;489693480;NIIF PYMES-GRUPO 2
10;830021253;CROWN COLOMBIANA S.A.;SUPERSOCIEDADES;Bogotá - Cundinamarca;CUNDINAMARCA;TOCANCIPA-CUNDINAMARCA;C2599 - Fabricación de otros productos elaborados de metal n.c.p.;MANUFACTURA;3282077540;300508500;2856940410;1537493940;1319446470;2732146040;225281310;2238047720;$ 1220078000;1017969720;NIIF PLENAS-GRUPO 1
11;860058070;CONSTRUCTORA COLPATRIA SA;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;F4111 - Construcción de edificios residenciales;CONSTRUCCIÓN;7786920450;203415040;20743602130;12987818550;7755783580;7125934400;660388910;19284933870;$ 11868402020;7416531850;NIIF PLENAS-GRUPO 1
12;900744408;EXITO INDUSTRIAS SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA;C1410 - Confección de prendas de vestir, excepto prendas de piel;MANUFACTURA;2522432800;148205930;2489713330;929194360;1560518970;3482870590;173138510;2936366610;$ 1490127830;1446238780;NIIF PLENAS-GRUPO 1
13;840000922;C.I. TOP S.A.;SUPERSOCIEDADES;Costa Pacífica;VALLE;CALI-VALLE;G4610 - Comercio al por mayor a cambio de una retribución o por contrata;COMERCIO;3216825140;5526950;297041390;258182820;38858570;3785068320;11740900;243737610;$ 208926210;34811400;NIIF PYMES-GRUPO 2
14;890110188;"""""""INDEPENDENCE DRILLING S.A.
""""
""";SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural;MINERO-HIDROCARBUROS;4100618110;191872740;7065294920;4776841100;2288453820;3224368520;147307230;6069633250;$ 4316045060;1753588190;NIIF PLENAS-GRUPO 1
15;860505170;MEGALINEA S.A;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.;SERVICIOS;1446623490;5013930;227432160;182109480;45322680;1416054970;1458340;231378960;$ 189425370;41953590;NIIF PLENAS-GRUPO 1
16;890900535;KELLOGG DE COLOMBIA SA;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;C1089 - Elaboración de otros productos alimenticios n.c.p.;MANUFACTURA;1753496180;52055110;1300112160;542427670;757684490;1869579990;43015840;1375105280;$ 669475900;705629380;NIIF PLENAS-GRUPO 1
17;891903333;CARCAFE LTDA;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;C1061 - Trilla de café;MANUFACTURA;6596831540;-17863700;2369988050;1864301820;505686230;7584596270;15132520;2401050540;$ 1918434540;482616000;NIIF PLENAS-GRUPO 1
18;800141770;CI ACEPALMA SA;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;"G4620 - Comercio al por mayor de materias primas agropecuarias; animales vivos";COMERCIO;7855926750;80017980;3041172040;2561574850;479597190;8825980040;86518220;2829787110;$ 2333322790;496464320;NIIF PLENAS-GRUPO 1
